sequence,date,type,status,actualConversationPages,title,corePdfUrl,sourcePacketUrl,sourcePdfPages,readingPacketPages,actualConversationPacketPages,markerPage,pddReferences,publicStatementsSameDay,publicStatementsNearby,sourceCopies,strobeContext,naraSupport,frusSourceNote,compilerAction
"67","1998-07-10","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","371-374","410-414","410-413","365","1:19-1:38 The President talked on a conference call with Boris N. Yeltsin. pp. 57 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-007-2018.pdf>","","","1rfsHmNUqd_CG69JwlpHp3gb91PiFko5A: 980710 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1rfsHmNUqd_CG69JwlpHp3gb91PiFko5A/view>; C09000004: Telephone Conversation with Russian President Boris Yeltsin w/Attachment(s) (Strobe FOIA packet; actual July 10, 1998 telcon is pages 1-4, with tasking/transmittal pages excluded.) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000004/C09000004.pdf>","1998-07-10 (same day) Telephone Conversation with Russian President Boris Yeltsin w/Attachment(s) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000004/C09000004.pdf>; 1998-07-06 (-4 days) POTUS's VISIT TO MOSCOW IN SEPTEMBER w/Attached Facsimile Transmission <https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000048/C09000048.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2048, Folder Title/Record ID 9804971, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"68","1998-08-14","Telcon","counted","6","Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","384-389","415-421","415-420","378","10:30-11:06 The President talked on a conference call with Boris N. Yeltsin; appendix lists participants. pp. 89, 95 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-009-2018.pdf>","","","1_Dekfu38Q_Gk1IwYiEJqitsrnsvSX9Qh: 980814 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1_Dekfu38Q_Gk1IwYiEJqitsrnsvSX9Qh/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2055, Folder Title/Record ID 9805782, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"69","1998-08-25","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, August 25, 1998, Martha's Vineyard, Massachusetts","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-25-telcon-62.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","405-408","422-426","422-425","399","","","","1HMmaeeYPmG7x8ueyovnZXgGBpb55xkRz: 980825 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1HMmaeeYPmG7x8ueyovnZXgGBpb55xkRz/view>","1998-08-21 (-4 days) MAKING THE MOST OF THE MOSCOW SUMMIT <https://foia.state.gov/DOCUMENTS/FOIA_L_Sep2023/FL-2017-13804/DOC_0C09000019/C09000019.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2056, Folder Title/Record ID 9805956, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"73","1998-09-01","Memcon","pending extent","","Meetings with President Boris Yeltsin of Russia, September 1-2, 1998, Moscow, Russia","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","No released September 1-2, 1998 Moscow memcon pages located in 2015-0782-M-2","","","","11:12-12:43 The President presented the U.S. delegation to Boris N. Yeltsin, then met with President Yeltsin and senior advisers. pp. 4-5 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-011-2018.pdf>; 7:50-9:17 The President and First Lady attended an official dinner hosted by President and Mrs. Yeltsin; appendix lists senior U.S. and Russian participants. pp. 7, 11 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-011-2018.pdf>","1998-09-01 (same day) Remarks to Future Russian Leaders in Moscow [pp. 1486-1491] <https://www.govinfo.gov/content/pkg/PPP-1998-book2/pdf/PPP-1998-book2-doc-pg1486.pdf>; 1998-09-01 (same day) Remarks at First Day of School Festivities in Moscow, Russia [pp. 1485-1486] <https://www.govinfo.gov/content/pkg/PPP-1998-book2/pdf/PPP-1998-book2-doc-pg1485-3.pdf>","1998-09-02 (+1 days) The President's News Conference With President Boris Yeltsin of Russia in Moscow [pp. 1494-1501] <https://www.govinfo.gov/content/pkg/PPP-1998-book2/pdf/PPP-1998-book2-doc-pg1494.pdf>","","","1998-08-31 (-1 days) Clinton letter to President Ulmanis before the Russia summit <https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/42-t-7585709-20111037F-012-041-2015.pdf>; 1998-08-31 (-1 days) NARA Scout lead: Trip of the President to Russia, Northern Ireland, and Ireland, Aug. 31-Sept. 5, 1998 <https://catalog.archives.gov/id/257664339>","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Hard source gap: locate released actual conversation text before counting or extracting a derivative PDF. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Review nearby support/context records only after final document selection."
"70","1998-09-12","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","422-425","427-431","427-430","415","11:14; 11:32-11:59 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call. pp. 92-93 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-011-2018.pdf>","","","1zL_1vQEJbvq4SWhIAqKpjAa3J2VR_AxW: 980912 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1zL_1vQEJbvq4SWhIAqKpjAa3J2VR_AxW/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2058, Folder Title/Record ID 9806300, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"71","1998-10-05","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, October 5, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-10-05-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/dac856cd6bbd10b93c2eb815862bce44.pdf","3-5","432-434","432-434","","11:25; 12:01-12:18 The President was telephoned by Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 30 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-010-002-2018.pdf>","","","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 100503, Clinton Digital Library item 2016-0620-M, Declassified Documents Concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence."
"72","1998-12-30","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/1ec29c3214c0ccb6c6ed30fd7e5b06af.pdf","1-5","435-439","435-439","","","","","","","","Source: William J. Clinton Presidential Library, Telcons - Memoranda of Telephone Conversation, Clinton Digital Library item 119190, Clinton Digital Library item clinton-item-119190, Memorandum of Telephone Conversation with Russian President Yeltsin.","Use the canonical extracted PDF and page range as the document candidate."
"77","1999-02-08","Memcon","pending extent","","Meeting with President Boris Yeltsin of Russia, February 8, 1999, Amman, Jordan","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","No released February 8, 1999 Amman memcon pages located in 2015-0782-M-2","","","","","","","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Hard source gap: locate released actual conversation text before counting or extracting a derivative PDF."
"73","1999-03-24","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","432-436","440-445","440-444","431","9:03; 9:20-9:56 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 35-36 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-002-2018.pdf>","1999-03-24 (same day) Address to the Nation on Airstrikes Against Serbian Targets in the Federal Republic of Yugoslavia (Serbia and Montenegro) [pp. 451-453] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg451.pdf>; 1999-03-24 (same day) Remarks Announcing Airstrikes Against Serbian Targets in the Federal Republic of Yugoslavia (Serbia and Montenegro) [p. 449] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg449.pdf>","1999-03-22 (-2 days) Remarks on the Situation in Kosovo [pp. 426-427] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg426.pdf>","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902107, Original OA/ID 2719, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact."
"74","1999-04-19","Telcon","counted","6","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","438-443","446-452","446-451","437","9:30-10:13 The President talked on a conference call with Boris N. Yeltsin. pp. 11 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-004-2018.pdf>","","","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902901, Original OA/ID 2724, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence."
"75","1999-04-25","Telcon","counted","12","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","445-456","453-465","453-464","444","10:17; 10:35-10:58 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Boris N. Yeltsin. pp. 48 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-004-2018.pdf>","","","1YBmo26tprmItE4dS_dXX5Ic6QShZpn4h: 990425 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1YBmo26tprmItE4dS_dXX5Ic6QShZpn4h/view>","1999-04-30 (+5 days) Chernomyrdin-Talbott one-on-one (Tuesday, April 27, 1999) <https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000028/C09000028.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9903106, Original OA/ID 2725, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"76","1999-05-02","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, May 2, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-05-02-telcon-71.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","470-473","466-470","466-469","469","9:52; 10:18-10:31 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 34 <https://s3.amazonaws.com/NARAprodstorage/opastorage/live/93/3681/17368193/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-010-2015.pdf>","","1999-05-04 (+2 days) Interview With Tom Brokaw of the National Broadcasting Corporation Aboard Air Force One [pp. 693-694] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg693.pdf>","1ix1Ii-rAWelKeQi7jC6_PI4qRZlMinle: 990502 Clinton Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1ix1Ii-rAWelKeQi7jC6_PI4qRZlMinle/view>","1999-04-30 (-2 days) Chernomyrdin-Talbott one-on-one (Tuesday, April 27, 1999) <https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000028/C09000028.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9903364, Original OA/ID 2727, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"77","1999-06-07","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, June 7, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-07-telcon-72.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","479-480","471-473","471-472","478","11:02-11:14 The President talked on a conference call with Boris N. Yeltsin. pp. 27 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-007-2018.pdf>","","","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904358, Original OA/ID 2733, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence."
"78","1999-06-08","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, June 8, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-08-telcon-73.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","482-484","474-477","474-476","481","8:15; 8:58-9:15 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 31-32 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-007-2018.pdf>","","1999-06-10 (+2 days) Address to the Nation on the Military Technical Agreement on Kosovo [pp. 913-916] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg913.pdf>; 1999-06-10 (+2 days) Remarks on the Military Technical Agreement on Kosovo and an Exchange With Reporters [pp. 909-912] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg909-2.pdf>","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904397, Original OA/ID 2733, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact."
"79","1999-06-10","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, June 10, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-10-telcon-74.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","488-489","478-480","478-479","487","10:06; 10:40-10:50 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 59-60 <https://s3.amazonaws.com/NARAprodstorage/opastorage/live/93/3681/17368193/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-010-2015.pdf>","1999-06-10 (same day) Address to the Nation on the Military Technical Agreement on Kosovo [pp. 913-916] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg913.pdf>; 1999-06-10 (same day) Remarks on the Military Technical Agreement on Kosovo and an Exchange With Reporters [pp. 909-912] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg909-2.pdf>","","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904501, Original OA/ID 2734, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact."
"80","1999-06-13","Telcon","counted","7","Telephone call with President Boris Yeltsin of Russia, June 13, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-13-telcon-75.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","531-537","481-488","481-487","530","","","","1wt8YvzsjTSpf3H4JMgUXJMU-hMk0bA74: 990613 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1wt8YvzsjTSpf3H4JMgUXJMU-hMk0bA74/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 2739, Folder Title/Record ID 9905271, Freedom of Information Act request 2006-1185-F, Records on Telephone Calls between William J. Clinton and Boris Yeltsin, June 13 and 14, 1999.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"81","1999-06-14","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, June 14, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-14-telcon-76.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","521-524","489-493","489-492","519","10:06-10:32 The President talked on a conference call with Boris N. Yeltsin. pp. 60 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-007-2018.pdf>","","","17_TAwdKBILpcBjzOK6fFzttzMxXLHc5P: 990614 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/17_TAwdKBILpcBjzOK6fFzttzMxXLHc5P/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 2739, Folder Title/Record ID 9905128, Freedom of Information Act request 2006-1185-F, Records on Telephone Calls between William J. Clinton and Boris Yeltsin, June 13 and 14, 1999.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"82","1999-06-20","Memcon","counted","9","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","497-505","494-503","494-502","491","1:01-2:03 The President participated in a meeting with U.S. and Russian officials; appendix lists Boris N. Yeltsin as a participant. pp. 69-70, 74 <https://s3.amazonaws.com/NARAprodstorage/opastorage/live/93/3681/17368193/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-010-2015.pdf>","1999-06-20 (same day) Interview With Wolf Blitzer of Cable News Network's ``Late Edition'' in Cologne [pp. 967-972] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg967.pdf>; 1999-06-20 (same day) Interview With Yevgeniy Kiselev of Russia's NTV in Cologne [pp. 973-976] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg973.pdf>; 1999-06-20 (same day) Joint Statement Between the United States and the Russian Federation Concerning Strategic Offensive and Defensive Arms and Further Strengthening of Stability [pp. 976-977] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg976.pdf>","1999-06-18 (-2 days) Exchange With Reporters Prior to Discussions With Prime Minister Keizo Obuchi of Japan in Cologne, Germany [pp. 959-960] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg959.pdf>; 1999-06-18 (-2 days) Remarks on the Agreement on Russian Participation in KFOR and an Exchange With Reporters in Cologne [pp. 964-966] <https://www.govinfo.gov/content/pkg/PPP-1999-book1/pdf/PPP-1999-book1-doc-pg964-4.pdf>","1sQzV-Sy-8geFSdknDtdp9xlzQCBI3QhN: 990620 Clinton and Yeltsin in Colognepdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1sQzV-Sy-8geFSdknDtdp9xlzQCBI3QhN/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2736, Folder Title/Record ID 9904842, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"83","1999-09-08","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","548-552","504-509","504-508","541","","","","1wxPSyI3jA335DIh43d6VJ4BLULbLKIPR: 990908 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1wxPSyI3jA335DIh43d6VJ4BLULbLKIPR/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2748, Folder Title/Record ID 9906603, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
